name, shortname, tipo
"COSAN       ","CSAN","NM             "
"DOMMO","DMMO",
"ENAUTA PART","ENAT","NM             "
"PET MANGUINH","RPMG",
"PETROBRAS   ","PETR","N2"
"PETROBRAS BR","BRDT","NM             "
"PETRORIO","PRIO","NM             "
"ULTRAPAR    ","UGPA","NM             "
"Equipamentos e Serviços",,
"LUPATECH    ","LUPA","NM             "
"OSX BRASIL  ","OSXB","NM             "
"BRADESPAR   ","BRAP","N1             "
"LITEL       ","LTEL","MB             "
"LITELA","LTLA","MB             "
"MMX MINER   ","MMXM","NM             "
"VALE        ","VALE","NM             "
"FERBASA     ","FESA","N1             "
"GERDAU      ","GGBR","N1             "
"GERDAU MET  ","GOAU","N1             "
"SID NACIONAL","CSNA",
"USIMINAS    ","USIM","N1             "
"MANGELS INDL","MGEL",
"PANATLANTICA","PATI",
"TEKNO       ","TKNO",
"Artefatos de Cobre",,
"PARANAPANEMA","PMAM","NM             "
"BRASKEM     ","BRKM","N1             "
"ELEKEIROZ   ","ELEK",
"GPC PART    ","GPCP",
"FER HERINGER","FHER","NM             "
"NUTRIPLANT  ","NUTR","MA             "
"CRISTAL","CRPG",
"UNIPAR      ","UNIP",
"DURATEX     ","DTEX","NM             "
"EUCATEX     ","EUCA","N1             "
"IRANI ","RANI",
"KLABIN S/A  ","KLBN","N2"
"MELHOR SP   ","MSPA",
"SANTHER     ","STTZ",
"SUZANO HOLD ","NEMO",
"SUZANO S.A.","SUZB","NM             "
"METAL IGUACU","MTIG",
"SANSUY      ","SNSY",
"ETERNIT     ","ETER","NM             "
"HAGA S/A    ","HAGA",
"PORTOBELLO  ","PTBL","NM             "
"AZEVEDO     ","AZEV",
"SONDOTECNICA","SOND",
"TECNOSOLO   ","TCNO",
"MILLS       ","MILS","NM             "
"EMBRAER     ","EMBR","NM             "
"FRAS-LE     ","FRAS","N1             "
"MARCOPOLO   ","POMO","N2             "
"RANDON PART ","RAPT","N1             "
"RECRUSUL    ","RCSL",
"RIOSULENSE  ","RSUL",
"TUPY        ","TUPY","NM             "
"WETZEL S/A  ","MWET",
"SCHULZ      ","SHUL",
"WEG         ","WEGE","NM             "
"ACO ALTONA  ","EALT",
"BARDELLA    ","BDLL",
"INDS ROMI   ","ROMI","NM             "
"INEPAR      ","INEP",
"KEPLER WEBER","KEPL",
